[LineInfoData]
IDNUM McNum McMdln McName StartBeam BeamNum Pass SecMntHld PrevMachine NextMachine
17 1 0x51400 "NPM-1" 1 2 0 0 0 3
18 2 0x51200 "NPM-2" 3 2 0 0 3 3
19 3 0x52200 "NPM-3" 5 2 0 0 3 3
20 4 0x52100 "NPM-4" 7 2 0 0 3 3
21 5 0x52200 "NPM-5" 9 2 0 0 3 0

[BeamData]
IDNUM Head NzlChg BulkFdr StickFdr CutUnit Ccamera Camera LeadChk Sensor3D BGACSP SPNzl LoadCntl TrayMagazine DblFdrUse HeadType NzlChgKind NzlSlots NzlBigSlots Flux ConvTime DHHighScan FdrTblType FdrSlots FrameType TraySlots TraySize EjCnv Stage ExConv ExBigNzl Lane SlowDown TM Hs8NzlChg PCBWarpMeasurement HighSpd HeightSensor AutoPinChg ConvLen CustomTray NPMExConvL NPMExConvR ThinTypeSingleFdr TallComp PIP COAXIAL LeadAdjust HeadCamera PcbHolder LCR BackLight PartsBCR CompactCart TrayStocker EnvAdjust GangTkup SlotNumbering FixLoad1N HPM1 HPM2
1 1 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 3 0 0 14 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 3 0 0 14 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
3 3 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 17 0 0 0 0 3 0 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
4 4 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 17 0 0 0 0 3 0 0 7 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
5 5 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
6 6 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
7 7 1 0 1 1 1 1 0 0 1 0 0 0 2 14 1 16 0 0 100 0 3 30 0 0 0 0 3 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
8 8 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
9 9 1 0 1 1 1 3 0 1 1 0 1 0 2 34 6 15 0 0 100 0 3 30 0 0 0 0 3 0 0 1 0 4 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
10 10 1 0 0 0 1 3 0 1 1 0 1 1 2 34 6 15 0 0 100 0 6 0 0 40 0 0 3 0 0 1 0 4 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0

[FdrTblMode]
IDNUM Head NowStation FdrTblMode Pass Type TapeCutLength
1 1 2 JOINT NO 0 0
2 2 2 JOINT NO 0 0
3 3 2 JOINT NO 0 0
4 4 2 JOINT NO 0 0
5 5 2 JOINT NO 0 0
6 6 2 JOINT NO 0 0
7 7 2 JOINT NO 0 0
8 8 2 JOINT NO 0 0
9 9 2 JOINT NO 0 0
10 10 2 JOINT NO 0 0

[LotNames]
IDNUM LotNum Lot MCFileName Filter AutoChg BaseChg Lane ProductionID SimProduct DGSPCBName DGSPCBRev DGSPCBSide DGSRefPin C DataGenMode MountHead VSTPath Order TargetTact C2
8 1 "fixfeeder-oled" "fixfeeder-oled" 0 0 0 1 "" 0 "new1line" "1.6" "T" "" "" 0 0 "" 0 0 ""

[ArrangementGroupProducts]
IDNUM Group Lot SameGroup
8 1 1 0

[ArrangementGroupCondValue<1>]
Value1=""
Value2=""
Value3=""
Value4=""
Value5=""
Value6=""
Value7=""
Value8=""
Value9=""
Value10=""

[PartsDataEx]
IDNUM NAME LNAME REELS SKIP NoAutoDivide Alt AltNum NoArrange
258 "EAN64895201" "ohm" 1 0 0 0 0 0
267 "EAN41348201" "ohm" 1 0 0 0 0 0
616 "MDS65793801" "ohm" 1 0 0 0 0 0
1185 "EAN65806202" "ohm" 1 0 0 0 0 0
1211 "EAN65585801" "ohm" 1 0 0 0 0 0
1265 "EAP65048202" "ohm" 1 0 0 0 0 0
1279 "EAP65069401" "ohm" 1 0 0 0 0 0
1284 "EAP65069501" "ohm" 1 0 0 0 0 0
1304 "EAP65069901" "ohm" 1 0 0 0 0 0
1309 "EAN64989601" "ohm" 1 0 0 0 0 0
1322 "EAN66321201" "ohm" 1 0 0 0 0 0
1329 "EAN66333801" "ohm" 1 0 0 0 0 0
1352 "EAN64429402" "ohm" 1 0 0 0 0 0
2965 "EAN66401801" "ohm" 1 0 0 0 0 0
3141 "EAH65079401" "ohm" 1 0 0 0 0 0
3160 "EAH65079101" "ohm" 1 0 0 0 0 0
3216 "EAE65502003" "ohm" 1 0 0 0 0 0
3247 "EAE60659102" "ohm" 1 0 0 0 0 0
3306 "EAP65284501" "ohm" 1 0 0 0 0 0
3314 "EAP65284701" "ohm" 1 0 0 0 0 0
3551 "EAN66317603" "ohm" 1 0 0 0 0 0
3557 "EAP65267102" "ohm" 1 0 0 0 0 0
3566 "EAN00957201" "ohm" 1 0 0 0 0 0

[FeederMaxData]
IDNUM Name Maxs
3001 "FA0010" 999
3002 "FA0020" 999
3003 "FA0030" 999
3004 "FA0040" 999
3005 "FA0050" 999
3006 "FC0030" 999
3011 "STK0XXTK8" 999
3012 "FA0360" 999
3013 "FA0370" 999
3018 "FA0005" 999
3022 "FA0480" 0
3026 "FA0204" 999
3027 "FA0002" 0
3028 "FA0001" 0
3030 "FA0501" 0
3034 "FE0020" 999
3041 "FE0060" 999
3042 "FE0070" 999
3043 "FE0072" 999
3045 "FE0100" 999
3061 "EF0010" 999
3062 "EF0020" 999
3063 "EF0030" 999
3064 "EF0040" 999
3065 "EF0014" 0
3066 "EF0024" 0
3067 "EF0034" 0
3068 "EF0044" 0
3071 "AF0010" 0
3072 "AF0020" 0
3073 "AF0030" 0
3074 "AF0040" 0
3081 "EF0016" 999
3082 "EF0026" 999
3083 "EF0036" 999
3084 "EF0046" 999
3091 "CE0020" 999
4013 "DF0020" 0
4023 "FA0007" 999
4066 "AT0010" 0
4071 "Tray Lifter Feeder" 0
4072 "Multi Column Tape Feeder" 0
4073 "Bowl Feeder 01" 0
4074 "Bowl Feeder 02" 0
4075 "SANKI-TAI Bowl 230L" 999
5001 "CF0010" 0
5002 "CF0020" 0
5003 "CF0030" 0
5004 "CF0040" 0
5005 "CF0050" 0
5006 "CF0060" 0
5007 "CF0070" 0
5008 "CF0080" 0
5009 "CF0090" 0
5010 "CF0100" 0
5011 "CF0110" 0
5012 "CF0120" 0
5021 "CF001A" 0
5022 "CF002A" 0
5023 "CF003A" 0
5024 "CF004A" 0
5025 "CF005A" 0
5026 "CF006A" 0
5027 "CF007A" 0
5028 "CF008A" 0
5029 "CF009A" 0
5030 "CF010A" 0
5031 "CF011A" 0
5032 "CF012A" 0

[FeederData]
IDNUM Ftype Pitch Feed FeedLen Quantity Xa Ya Xb Yb Xc Yc Width Kind REELTYPE ReelSize SHEIGHT ControlType Compact
302001 302001 1 1 2.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302002 302002 1 1 4.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302003 302003 1 1 8.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302004 302004 1 1 12.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302005 302005 1 1 16.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302006 302006 1 1 20.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302007 302007 1 1 24.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302008 302008 1 1 28.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302009 302009 1 1 32.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302010 302010 1 1 36.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302011 302011 1 1 40.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302012 302012 1 1 1.000 3018 -4.000 1.500 0.000 0.000 0.000 0.000 8 1 0 1 0 1 0
302021 302021 1 1 2.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302022 302022 1 1 4.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302023 302023 1 2 8.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302024 302024 1 1 12.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302025 302025 1 1 16.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302026 302026 1 1 20.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302027 302027 1 1 24.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302028 302028 1 1 28.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302029 302029 1 1 32.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302030 302030 1 1 36.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302031 302031 1 1 40.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302032 302032 1 1 1.000 3018 -4.000 1.500 0.000 0.000 0.000 0.000 8 1 1 1 0 1 0
302161 302161 1 1 2.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302162 302162 1 1 4.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302163 302163 1 2 8.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302164 302164 1 1 12.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302165 302165 1 1 16.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302166 302166 1 1 20.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302167 302167 1 1 24.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302168 302168 1 1 28.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302169 302169 1 1 32.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302170 302170 1 1 36.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302171 302171 1 1 40.000 3018 -4.000 2.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
302172 302172 1 1 1.000 3018 -4.000 1.500 0.000 0.000 0.000 0.000 8 1 0 2 0 1 0
