[LineInfoData]
IDNUM McNum McMdln McName StartBeam BeamNum Pass SecMntHld PrevMachine NextMachine
1 1 0x71100 "NPM-DX-1" 1 4 0 0 0 3
2 2 0x52100 "NPM-2" 5 2 0 0 3 3
3 3 0x52100 "NPM-3" 7 2 0 0 3 3
4 4 0x52200 "NPM-4" 9 2 0 0 3 0

[BeamData]
IDNUM Head NzlChg BulkFdr StickFdr CutUnit Ccamera Camera LeadChk Sensor3D BGACSP SPNzl LoadCntl TrayMagazine DblFdrUse HeadType NzlChgKind NzlSlots NzlBigSlots Flux ConvTime DHHighScan FdrTblType FdrSlots FrameType TraySlots TraySize EjCnv Stage ExConv ExBigNzl Lane SlowDown TM Hs8NzlChg PCBWarpMeasurement HighSpd HeightSensor AutoPinChg ConvLen CustomTray NPMExConvL NPMExConvR ThinTypeSingleFdr TallComp PIP COAXIAL LeadAdjust HeadCamera PcbHolder LCR BackLight PartsBCR CompactCart TrayStocker EnvAdjust GangTkup SlotNumbering FixLoad1N HPM1 HPM2
1 1 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
2 2 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 1 0 0 13 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
3 3 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 0 0 0 13 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
4 4 1 0 0 1 1 3 0 0 0 0 0 0 2 28 0 32 0 0 100 0 3 17 0 0 0 0 0 0 0 13 0 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
5 5 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
6 6 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
7 7 1 0 1 1 1 1 0 0 1 0 0 0 2 14 1 16 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
8 8 1 0 0 1 1 1 0 0 0 0 0 0 2 17 0 32 0 0 100 0 3 30 0 0 0 0 3 0 0 9 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
9 9 1 0 1 1 1 3 0 1 1 0 1 0 2 34 6 15 0 0 100 0 3 30 0 0 0 0 3 0 0 1 0 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
10 10 1 0 0 0 1 3 0 1 1 0 1 1 2 34 6 15 0 0 100 0 6 0 0 40 0 0 3 0 0 1 0 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0

[FdrTblMode]
IDNUM Head NowStation FdrTblMode Pass Type TapeCutLength
1 1 2 JOINT NO 0 0
2 2 2 JOINT NO 0 0
3 3 2 JOINT NO 0 0
4 4 2 JOINT NO 0 0
5 5 2 JOINT NO 0 0
6 6 2 JOINT NO 0 0
7 7 2 JOINT NO 0 0
8 8 2 JOINT NO 0 0
9 9 2 JOINT NO 0 0
10 10 2 JOINT NO 0 0

[OptimizeOptionsPerBeam]
IDNUM Head OptOptions CarryoverDiffNum OnlineSetupFeederNum
1 1 "00000000" 0 0
2 2 "00000000" 0 0
3 3 "00000000" 0 0
4 4 "00000000" 0 0
5 5 "00000000" 0 0
6 6 "00000000" 0 0
7 7 "00000000" 0 0
8 8 "00000000" 0 0
9 9 "00000000" 0 0
10 10 "00000000" 0 0

[LotNames]
IDNUM LotNum Lot MCFileName Filter AutoChg BaseChg Lane ProductionID SimProduct DGSPCBName DGSPCBRev DGSPCBSide DGSRefPin C DataGenMode MountHead VSTPath Order TargetTact C2
1048 1 "testoled-v2" "testoled-v2" 0 0 0 0 "" 0 "new-5line" "1" "T" "" "" 0 0 "" 0 0 ""

[ArrangementGroupProducts]
IDNUM Group Lot SameGroup
1048 1 1 0

[ArrangementGroupCondValue<1>]
Value1=""
Value2=""
Value3=""
Value4=""
Value5=""
Value6=""
Value7=""
Value8=""
Value9=""
Value10=""

[PartsDataEx]
IDNUM NAME LNAME REELS SKIP NoAutoDivide Alt AltNum NoArrange
2 "0CC100BKF1A" "ohm" 1 0 0 0 0 0
3 "0CC103BK5BA" "ohm" 1 0 0 0 0 0
5 "0CH5470K618" "ohm" 1 0 0 0 0 0
6 "0CK101BK4EA" "ohm" 1 0 0 0 0 0
7 "0CK102BK56A" "ohm" 1 0 0 0 0 0
8 "0CK104BF56A" "ohm" 6 0 0 0 0 0
9 "0CK104CK56A" "ohm" 1 0 0 0 0 0
10 "0CK105CD56A" "ohm" 1 0 0 0 0 0
11 "0CK105CK56A" "ohm" 1 0 0 0 0 0
13 "0CZZB00035A" "ohm" 1 0 0 0 0 0
15 "0RJ0000C678" "ohm" 3 0 0 0 0 0
17 "0RJ0332C678" "ohm" 1 0 0 0 0 0
20 "0RJ1000C678" "ohm" 2 0 0 0 0 0
21 "0RJ1001C678" "ohm" 1 0 0 0 0 0
22 "0RJ1001E478" "ohm" 1 0 0 0 0 0
23 "0RJ1002C478" "ohm" 1 0 0 0 0 0
24 "0RJ1002C678" "ohm" 3 0 0 0 0 0
25 "0RJ1003C478" "ohm" 1 0 0 0 0 0
26 "0RJ1003C678" "ohm" 1 0 0 0 0 0
27 "0RJ2400C478" "ohm" 1 0 0 0 0 0
29 "0RJ4701C678" "ohm" 2 0 0 0 0 0
30 "EAE32166101" "ohm" 1 0 0 0 0 0
31 "EAE52158501" "ohm" 5 0 0 0 0 0
32 "EAE62303301" "ohm" 1 0 0 0 0 0
36 "0RJ1801C678" "ohm" 1 0 0 0 0 0
37 "0RJ2001C678" "ohm" 1 0 0 0 0 0
39 "0CK104BH56A" "ohm" 3 0 0 0 0 0
41 "0RJ5102C478" "ohm" 1 0 0 0 0 0
45 "0RJ1102C478" "ohm" 1 0 0 0 0 0
46 "0RJ4701C478" "ohm" 1 0 0 0 0 0
48 "0RJ6801C478" "ohm" 1 0 0 0 0 0
49 "0RJ1802C478" "ohm" 1 0 0 0 0 0
50 "0RJ6201C478" "ohm" 1 0 0 0 0 0
52 "0RJ0332C478" "ohm" 1 0 0 0 0 0
56 "EBK61913702" "ohm" 1 0 0 0 0 0
58 "0RJ3301C678" "ohm" 1 0 0 0 0 0
59 "0RJ0222C678" "ohm" 1 0 0 0 0 0
60 "0CK475DD56A" "ohm" 1 0 0 0 0 0
61 "0RJ1201C478" "ohm" 1 0 0 0 0 0
62 "0RJ2002C478" "ohm" 1 0 0 0 0 0
66 "0CC120BK4AA" "ohm" 1 0 0 0 0 0
67 "0RJ3902C478" "ohm" 1 0 0 0 0 0
69 "0CK272BKF6A" "ohm" 1 0 0 0 0 0
71 "0RJ2491C478" "ohm" 1 0 0 0 0 0
72 "EBC35293401" "ohm" 1 0 0 0 0 0
73 "EAF61530102" "ohm" 1 0 0 0 0 0
74 "0CH5220K618" "ohm" 1 0 0 0 0 0
77 "0RJ1202C478" "ohm" 1 0 0 0 0 0
78 "0RJ3301C478" "ohm" 1 0 0 0 0 0
80 "0RJ2003C478" "ohm" 1 0 0 0 0 0
81 "EAN41348201" "ohm" 1 0 0 0 0 0
83 "EBC32176201" "ohm" 1 0 0 0 0 0
84 "0RJ3301D677" "ohm" 1 0 0 0 0 0
88 "0RJ4702C678" "ohm" 1 0 0 0 0 0
92 "0CK474DK56A" "ohm" 1 0 0 0 0 0
97 "0RJ2000D677" "ohm" 1 0 0 0 0 0
98 "0RJ1052C478" "ohm" 1 0 0 0 0 0
99 "0TR390609DC" "ohm" 1 0 0 0 0 0
100 "0TRKE80046A" "ohm" 1 0 0 0 0 0
103 "EBC62582701" "ohm" 1 0 0 0 0 0
104 "EBC62582703" "ohm" 1 0 0 0 0 0
106 "EBC62582706" "ohm" 1 0 0 0 0 0
108 "EBC32260601" "ohm" 1 0 0 0 0 0
109 "0RJ2202C678" "ohm" 1 0 0 0 0 0
110 "0RJ3602C478" "ohm" 1 0 0 0 0 0
111 "EBC62582702" "ohm" 1 0 0 0 0 0
112 "0CH1224K512" "ohm" 1 0 0 0 0 0
113 "0RJ0512C678" "ohm" 1 0 0 0 0 0
114 "0RJ5101C678" "ohm" 1 0 0 0 0 0
116 "0RJ1201C678" "ohm" 1 0 0 0 0 0
126 "0CH1474K562" "ohm" 1 0 0 0 0 0
127 "0RJ2402C478" "ohm" 1 0 0 0 0 0
128 "0RJ0472C678" "ohm" 1 0 0 0 0 0
129 "0RJ0221C678" "ohm" 1 0 0 0 0 0
135 "0RJ6801C678" "ohm" 1 0 0 0 0 0
143 "EAE32479401" "ohm" 1 0 0 0 0 0
148 "EBC58702101" "ohm" 1 0 0 0 0 0
149 "0CC223BK5BA" "ohm" 1 0 0 0 0 0
150 "MDS65793801" "ohm" 1 0 0 0 0 0
151 "EAN63491301" "ohm" 1 0 0 0 0 0
153 "0RJ3300C678" "ohm" 1 0 0 0 0 0
154 "EBC62582709" "ohm" 1 0 0 0 0 0
155 "0RJ8202C478" "ohm" 1 0 0 0 0 0
